tmp:1022.976, loss:1765.6862
tmp:946.1794828683007, loss:1525.5237
tmp:945.2333033854325, loss:1644.6085
tmp:944.288070082047, loss:1643.7235
tmp:943.343782011965, loss:1604.0746
tmp:942.400438229953, loss:1634.5825
tmp:941.4580377917231, loss:1705.9883
tmp:940.5165797539314, loss:1543.7095
tmp:939.5760631741775, loss:1527.075
tmp:938.6364871110034, loss:1518.9434
tmp:937.6978506238924, loss:1742.1901
tmp:936.7601527732685, loss:1578.192
tmp:935.8233926204953, loss:1628.9235
tmp:934.8875692278748, loss:1640.7257
tmp:933.952681658647, loss:1840.199
tmp:933.0187289769883, loss:1787.9742
tmp:932.0857102480113, loss:1509.8969
tmp:931.1536245377633, loss:1442.3591
tmp:930.2224709132256, loss:1763.541
tmp:929.2922484423124, loss:1614.7552
tmp:928.3629561938701, loss:1512.7656
tmp:927.4345932376763, loss:1536.2529
tmp:926.5071586444386, loss:1739.9652
tmp:925.5806514857942, loss:1592.7478
tmp:924.6550708343084, loss:1710.4031
tmp:923.7304157634741, loss:1579.7052
tmp:922.8066853477106, loss:1664.6989
tmp:921.8838786623629, loss:1710.412
tmp:920.9619947837006, loss:1726.757
tmp:920.0410327889168, loss:1632.0549
tmp:919.1209917561279, loss:1771.0454
tmp:918.2018707643717, loss:1689.98
tmp:917.2836688936073, loss:1582.811
tmp:916.3663852247138, loss:1539.8691
tmp:915.4500188394891, loss:1741.8768
tmp:914.5345688206496, loss:1661.9011
tmp:913.620034251829, loss:1518.2705
tmp:912.7064142175772, loss:1775.7347
tmp:911.7937078033596, loss:1656.5192
tmp:910.8819140955562, loss:1683.1182
tmp:909.9710321814607, loss:1680.4722
tmp:909.0610611492792, loss:1470.4089
tmp:908.15200008813, loss:1664.0513
tmp:907.2438480880419, loss:1660.9023
tmp:906.3366042399539, loss:1532.4376
tmp:905.4302676357139, loss:1648.1212
tmp:904.5248373680782, loss:1637.0864
tmp:903.6203125307102, loss:1623.2515
tmp:902.7166922181794, loss:1538.0585
tmp:901.8139755259613, loss:1484.6506
tmp:900.9121615504353, loss:1597.5427
tmp:900.0112493888848, loss:1689.3956
tmp:899.111238139496, loss:1587.8187
tmp:898.2121269013564, loss:1603.8766
tmp:897.313914774455, loss:1611.6664
tmp:896.4166008596806, loss:1584.0669
tmp:895.5201842588209, loss:1575.1749
tmp:894.6246640745621, loss:1792.7294
tmp:893.7300394104876, loss:1507.709
tmp:892.8363093710772, loss:1583.2727
tmp:891.9434730617061, loss:1787.3759
tmp:891.0515295886444, loss:1618.6088
tmp:890.1604780590558, loss:1586.8358
tmp:889.2703175809967, loss:1625.4124
tmp:888.3810472634157, loss:1641.5608
tmp:887.4926662161522, loss:1535.7007
tmp:886.605173549936, loss:1648.9392
tmp:885.7185683763861, loss:1728.2292
tmp:884.8328498080097, loss:1704.4265
tmp:883.9480169582016, loss:1558.3589
tmp:883.0640689412434, loss:1497.6357
tmp:882.1810048723021, loss:1617.9023
tmp:881.2988238674297, loss:1714.1627
tmp:880.4175250435624, loss:1544.818
tmp:879.5371075185188, loss:1721.339
tmp:878.6575704110003, loss:1520.0679
tmp:877.7789128405893, loss:1578.1559
tmp:876.9011339277488, loss:1692.2938
tmp:876.024232793821, loss:1616.8254
tmp:875.1482085610272, loss:1859.2627
tmp:874.2730603524662, loss:1550.2131
tmp:873.3987872921138, loss:1618.3148
tmp:872.5253885048216, loss:1668.1262
tmp:871.6528631163168, loss:1598.5155
tmp:870.7812102532005, loss:1659.251
tmp:869.9104290429473, loss:1688.203
tmp:869.0405186139043, loss:1767.8566
tmp:868.1714780952904, loss:1493.0968
tmp:867.3033066171951, loss:1548.837
tmp:866.4360033105779, loss:1629.073
tmp:865.5695673072673, loss:1763.6498
tmp:864.7039977399601, loss:1631.8358
tmp:863.8392937422201, loss:1638.9105
tmp:862.9754544484779, loss:1626.7463
tmp:862.1124789940294, loss:1649.3766
tmp:861.2503665150354, loss:1580.2451
tmp:860.3891161485203, loss:1480.7192
tmp:859.5287270323718, loss:1581.5758
tmp:858.6691983053394, loss:1612.3285
tmp:857.810529107034, loss:1564.1685
tmp:856.9527185779269, loss:1687.3582
tmp:856.0957658593491, loss:1614.7775
tmp:855.2396700934897, loss:1666.5598
tmp:854.3844304233962, loss:1697.6998
tmp:853.5300459929729, loss:1560.2316
tmp:852.6765159469799, loss:1679.703
tmp:851.8238394310329, loss:1481.0065
tmp:850.9720155916018, loss:1644.5752
tmp:850.1210435760102, loss:1750.7129
tmp:849.2709225324342, loss:1779.4467
tmp:848.4216516099017, loss:1522.4462
tmp:847.5732299582918, loss:1627.3909
tmp:846.7256567283335, loss:1714.3757
tmp:845.8789310716052, loss:1770.0262
tmp:845.0330521405335, loss:1683.9985
tmp:844.188019088393, loss:1860.8516
tmp:843.3438310693047, loss:1552.8733
tmp:842.5004872382353, loss:1553.012
tmp:841.6579867509971, loss:1681.7748
tmp:840.8163287642461, loss:1780.9694
tmp:839.9755124354818, loss:1596.289
tmp:839.1355369230464, loss:1576.7515
tmp:838.2964013861233, loss:1689.8573
tmp:837.4581049847371, loss:1630.9816
tmp:836.6206468797524, loss:1683.5437
tmp:835.7840262328726, loss:1777.5117
tmp:834.9482422066397, loss:1730.365
tmp:834.1132939644331, loss:1666.2216
tmp:833.2791806704687, loss:1653.1257
tmp:832.4459014897982, loss:1705.77
tmp:831.6134555883084, loss:1676.2244
tmp:830.78184213272, loss:1575.7601
tmp:829.9510602905873, loss:1587.5233
tmp:829.1211092302967, loss:1633.7147
tmp:828.2919881210664, loss:1677.0062
tmp:827.4636961329453, loss:1674.3359
tmp:826.6362324368124, loss:1549.1302
tmp:825.8095962043756, loss:1677.2676
tmp:824.9837866081712, loss:1633.1926
tmp:824.158802821563, loss:1457.3451
tmp:823.3346440187414, loss:1647.3159
tmp:822.5113093747227, loss:1564.5571
tmp:821.688798065348, loss:1625.3433
tmp:820.8671092672827, loss:1711.0612
tmp:820.0462421580154, loss:1594.3579
tmp:819.2261959158574, loss:1783.2701
tmp:818.4069697199416, loss:1624.2803
tmp:817.5885627502216, loss:1652.593
tmp:816.7709741874714, loss:1769.145
tmp:815.954203213284, loss:1617.9222
tmp:815.1382490100707, loss:1538.0994
tmp:814.3231107610607, loss:1661.4731
tmp:813.5087876502996, loss:1556.6658
tmp:812.6952788626493, loss:1511.8843
tmp:811.8825835837866, loss:1564.0968
tmp:811.0707010002028, loss:1751.4208
tmp:810.2596302992026, loss:1593.8347
tmp:809.4493706689034, loss:1658.7346
tmp:808.6399212982345, loss:1717.312
tmp:807.8312813769363, loss:1892.5634
tmp:807.0234500955594, loss:1668.4539
tmp:806.2164266454638, loss:1692.6998
tmp:805.4102102188183, loss:1716.0352
tmp:804.6048000085995, loss:1521.2887
tmp:803.8001952085908, loss:1609.56
tmp:802.9963950133822, loss:1625.4047
tmp:802.1933986183689, loss:1651.1016
tmp:801.3912052197505, loss:1668.8259
tmp:800.5898140145308, loss:1690.6079
tmp:799.7892242005163, loss:1744.863
tmp:798.9894349763158, loss:1639.0602
tmp:798.1904455413395, loss:1785.73
tmp:797.3922550957982, loss:1601.2587
tmp:796.5948628407024, loss:1668.1987
tmp:795.7982679778617, loss:1622.979
tmp:795.0024697098838, loss:1685.0304
tmp:794.207467240174, loss:1542.2305
tmp:793.4132597729338, loss:1778.504
tmp:792.6198465131608, loss:1732.6108
tmp:791.8272266666477, loss:1568.1663
tmp:791.035399439981, loss:1696.7303
tmp:790.244364040541, loss:1540.9578
tmp:789.4541196765005, loss:1711.9456
tmp:788.6646655568239, loss:1687.5061
tmp:787.8760008912672, loss:1644.0974
tmp:787.0881248903759, loss:1664.7272
tmp:786.3010367654855, loss:1538.742
tmp:785.51473572872, loss:1663.7474
tmp:784.7292209929913, loss:1562.0963
tmp:783.9444917719983, loss:1555.7046
tmp:783.1605472802263, loss:1804.1294
tmp:782.3773867329461, loss:1607.7802
tmp:781.5950093462131, loss:1635.1686
tmp:780.8134143368669, loss:1657.6598
tmp:780.03260092253, loss:1637.0933
tmp:779.2525683216076, loss:1623.8999
tmp:778.473315753286, loss:1656.7666
tmp:777.6948424375327, loss:1574.6295
tmp:776.9171475950951, loss:1481.0752
tmp:776.1402304475, loss:1501.6902
tmp:775.3640902170525, loss:1501.8657
tmp:774.5887261268355, loss:1683.2156
tmp:773.8141374007087, loss:1554.995
tmp:773.040323263308, loss:1644.3398
tmp:772.2672829400447, loss:1552.1514
tmp:771.4950156571047, loss:1738.1011
tmp:770.7235206414475, loss:1754.2825
tmp:769.952797120806, loss:1864.7959
tmp:769.1828443236852, loss:1519.1279
tmp:768.4136614793615, loss:1336.698
tmp:767.6452478178821, loss:1686.8666
tmp:766.8776025700643, loss:1681.2025
tmp:766.1107249674942, loss:1491.3138
tmp:765.3446142425267, loss:1806.5416
tmp:764.5792696282842, loss:1664.9623
tmp:763.814690358656, loss:1825.0681
tmp:763.0508756682973, loss:1527.9166
tmp:762.287824792629, loss:1637.0857
tmp:761.5255369678363, loss:1771.2451
tmp:760.7640114308684, loss:1528.9868
tmp:760.0032474194376, loss:1649.6886
tmp:759.2432441720181, loss:1752.855
tmp:758.4840009278461, loss:1595.1501
tmp:757.7255169269182, loss:1573.5367
tmp:756.9677914099913, loss:1699.6603
tmp:756.2108236185812, loss:1526.5204
tmp:755.4546127949626, loss:1655.0421
tmp:754.6991581821676, loss:1539.9513
tmp:753.9444590239855, loss:1662.874
tmp:753.1905145649615, loss:1594.1097
tmp:752.4373240503966, loss:1629.2275
tmp:751.6848867263461, loss:1682.6649
tmp:750.9332018396198, loss:1745.6241
tmp:750.1822686377801, loss:1623.2521
tmp:749.4320863691423, loss:1765.8087
tmp:748.6826542827732, loss:1761.4891
tmp:747.9339716284904, loss:1662.5275
tmp:747.1860376568619, loss:1566.765
tmp:746.438851619205, loss:1684.0046
tmp:745.6924127675858, loss:1786.5773
tmp:744.9467203548182, loss:1580.7943
tmp:744.2017736344634, loss:1658.5945
tmp:743.4575718608289, loss:1672.8215
tmp:742.7141142889681, loss:1594.8973
tmp:741.971400174679, loss:1753.7946
tmp:741.2294287745044, loss:1606.7323
tmp:740.4881993457299, loss:1712.923
tmp:739.7477111463842, loss:1734.8477
tmp:739.0079634352378, loss:1728.27
tmp:738.2689554718025, loss:1657.0602
tmp:737.5306865163308, loss:1677.1864
tmp:736.7931558298144, loss:1781.4307
tmp:736.0563626739846, loss:1690.4209
tmp:735.3203063113107, loss:1762.1732
tmp:734.5849860049993, loss:1734.6633
tmp:733.8504010189944, loss:1639.4572
tmp:733.1165506179753, loss:1861.7913
tmp:732.3834340673574, loss:1452.5577
tmp:731.65105063329, loss:1710.2666
tmp:730.9193995826566, loss:1704.2062
tmp:730.188480183074, loss:1826.5172
tmp:729.458291702891, loss:1609.9379
tmp:728.728833411188, loss:1662.157
tmp:728.0001045777768, loss:1643.5526
tmp:727.2721044731991, loss:1769.7793
tmp:726.5448323687259, loss:1636.4521
tmp:725.8182875363572, loss:1609.0408
tmp:725.0924692488207, loss:1442.7892
tmp:724.3673767795719, loss:1595.9908
tmp:723.6430094027924, loss:1493.4922
tmp:722.9193663933895, loss:1559.2645
tmp:722.1964470269961, loss:1712.1969
tmp:721.4742505799691, loss:1777.8873
tmp:720.7527763293891, loss:1677.5322
tmp:720.0320235530597, loss:1790.092
tmp:719.3119915295067, loss:1521.3741
tmp:718.5926795379772, loss:1596.4009
tmp:717.8740868584392, loss:1732.9305
tmp:717.1562127715808, loss:1717.3713
tmp:716.4390565588093, loss:1657.9255
tmp:715.7226175022505, loss:1732.181
tmp:715.0068948847482, loss:1688.9299
tmp:714.2918879898635, loss:1749.5892
tmp:713.5775961018737, loss:1628.2169
tmp:712.8640185057718, loss:1595.7961
tmp:712.151154487266, loss:1659.6088
tmp:711.4390033327787, loss:1778.6232
tmp:710.727564329446, loss:1708.6067
tmp:710.0168367651165, loss:1643.5063
tmp:709.3068199283514, loss:1668.1786
tmp:708.5975131084231, loss:1549.7988
tmp:707.8889155953146, loss:1611.1583
tmp:707.1810266797194, loss:1738.6497
tmp:706.4738456530397, loss:1647.075
tmp:705.7673718073867, loss:1447.5261
tmp:705.0616044355793, loss:1725.3973
tmp:704.3565428311437, loss:1554.6619
tmp:703.6521862883125, loss:1766.3987
tmp:702.9485341020242, loss:1616.2626
tmp:702.2455855679221, loss:1666.9911
tmp:701.5433399823543, loss:1547.2163
tmp:700.841796642372, loss:1696.4382
tmp:700.1409548457295, loss:1711.8341
tmp:699.4408138908838, loss:1724.1301
tmp:698.7413730769929, loss:1708.3445
tmp:698.0426317039158, loss:1571.5917
tmp:697.3445890722119, loss:1625.4092
tmp:696.6472444831396, loss:1662.7504
tmp:695.9505972386564, loss:1758.0715
tmp:695.2546466414178, loss:1610.1016
tmp:694.5593919947764, loss:1712.7303
tmp:693.8648326027817, loss:1385.7954
tmp:693.1709677701789, loss:1602.4232
tmp:692.4777968024088, loss:1722.2759
tmp:691.7853190056063, loss:1733.937
tmp:691.0935336866007, loss:1604.0923
tmp:690.4024401529141, loss:1643.6959
tmp:689.7120377127612, loss:1622.7411
tmp:689.0223256750485, loss:1738.614
tmp:688.3333033493734, loss:1719.6893
tmp:687.644970046024, loss:1726.0044
tmp:686.957325075978, loss:1618.9601
tmp:686.2703677509021, loss:1546.1704
tmp:685.5840973831512, loss:1654.2275
tmp:684.898513285768, loss:1714.2643
tmp:684.2136147724822, loss:1570.0424
tmp:683.5294011577097, loss:1721.5833
tmp:682.845871756552, loss:1801.7983
tmp:682.1630258847955, loss:1735.0334
tmp:681.4808628589107, loss:1450.86
tmp:680.7993819960517, loss:1820.311
tmp:680.1185826140556, loss:1654.9492
tmp:679.4384640314416, loss:1577.9436
tmp:678.7590255674102, loss:1615.2186
tmp:678.0802665418428, loss:1587.4266
tmp:677.4021862753009, loss:1665.3851
tmp:676.7247840890255, loss:1629.5111
tmp:676.0480593049365, loss:1795.3394
tmp:675.3720112456316, loss:1596.6658
tmp:674.696639234386, loss:1711.3981
tmp:674.0219425951516, loss:1704.6853
tmp:673.3479206525565, loss:1654.6313
tmp:672.6745727319039, loss:1723.1381
tmp:672.001898159172, loss:1374.9012
tmp:671.3298962610129, loss:1585.4716
tmp:670.6585663647519, loss:1497.1793
tmp:669.9879077983871, loss:1679.6211
tmp:669.3179198905888, loss:1621.9646
tmp:668.6486019706982, loss:1620.0795
tmp:667.9799533687275, loss:1538.9093
tmp:667.3119734153588, loss:1785.5432
tmp:666.6446614419434, loss:1605.5103
tmp:665.9780167805014, loss:1542.0278
tmp:665.3120387637209, loss:1777.7218
tmp:664.6467267249571, loss:1724.4739
tmp:663.9820799982322, loss:1691.0292
tmp:663.3180979182339, loss:1715.9868
tmp:662.6547798203156, loss:1513.533
tmp:661.9921250404954, loss:1621.0156
tmp:661.3301329154549, loss:1594.0138
tmp:660.6688027825394, loss:1779.7312
tmp:660.0081339797568, loss:1732.913
tmp:659.3481258457771, loss:1767.9668
tmp:658.6887777199313, loss:1642.7086
tmp:658.0300889422114, loss:1727.3667
tmp:657.3720588532691, loss:1630.0448
tmp:656.7146867944158, loss:1640.4506
tmp:656.0579721076214, loss:1590.0854
tmp:655.4019141355137, loss:1740.243
tmp:654.7465122213782, loss:1738.3872
tmp:654.0917657091569, loss:1724.0374
tmp:653.4376739434477, loss:1451.2421
tmp:652.7842362695043, loss:1558.561
tmp:652.1314520332347, loss:1582.1445
tmp:651.4793205812015, loss:1605.5101
tmp:650.8278412606203, loss:1794.5562
tmp:650.1770134193597, loss:1679.308
tmp:649.5268364059403, loss:1749.5582
tmp:648.8773095695344, loss:1787.1475
tmp:648.2284322599648, loss:1730.8815
tmp:647.5802038277048, loss:1605.457
tmp:646.9326236238771, loss:1524.8004
tmp:646.2856910002532, loss:1660.6416
tmp:645.639405309253, loss:1693.3038
tmp:644.9937659039438, loss:1541.7782
tmp:644.3487721380399, loss:1658.1733
tmp:643.7044233659018, loss:1801.8596
tmp:643.0607189425359, loss:1734.6937
tmp:642.4176582235933, loss:1636.868
tmp:641.7752405653697, loss:1795.5178
tmp:641.1334653248043, loss:1691.4508
tmp:640.4923318594795, loss:1680.3633
tmp:639.85183952762, loss:1528.6373
tmp:639.2119876880923, loss:1492.6582
tmp:638.5727757004042, loss:1709.676
tmp:637.9342029247039, loss:1736.666
tmp:637.2962687217791, loss:1616.0837
tmp:636.6589724530573, loss:1696.9062
tmp:636.0223134806043, loss:1536.2716
tmp:635.3862911671238, loss:1809.6587
tmp:634.7509048759566, loss:1477.6772
tmp:634.1161539710806, loss:1719.7386
tmp:633.4820378171096, loss:1537.6943
tmp:632.8485557792925, loss:1592.5312
tmp:632.2157072235132, loss:1431.228
tmp:631.5834915162897, loss:1667.2079
tmp:630.9519080247734, loss:1765.3375
tmp:630.3209561167486, loss:1606.0444
tmp:629.6906351606318, loss:1694.1589
tmp:629.0609445254712, loss:1638.8647
tmp:628.4318835809457, loss:1658.5441
tmp:627.8034516973648, loss:1777.0942
tmp:627.1756482456675, loss:1650.0255
tmp:626.5484725974219, loss:1519.88
tmp:625.9219241248245, loss:1582.9923
tmp:625.2960022006997, loss:1498.0817
tmp:624.670706198499, loss:1702.0321
tmp:624.0460354923006, loss:1497.8087
tmp:623.4219894568083, loss:1596.1014
tmp:622.7985674673515, loss:1586.0942
tmp:622.1757688998841, loss:1547.9019
tmp:621.5535931309843, loss:1655.0858
tmp:620.9320395378533, loss:1702.0178
tmp:620.3111074983154, loss:1705.075
tmp:619.6907963908171, loss:1520.7687
tmp:619.0711055944263, loss:1592.8387
tmp:618.4520344888318, loss:1620.6499
tmp:617.833582454343, loss:1604.2346
tmp:617.2157488718886, loss:1684.0155
tmp:616.5985331230168, loss:1716.7795
tmp:615.9819345898937, loss:1644.9244
tmp:615.3659526553039, loss:1823.7693
tmp:614.7505867026485, loss:1500.0555
tmp:614.135836115946, loss:1726.0079
tmp:613.52170027983, loss:1586.2731
tmp:612.9081785795502, loss:1663.362
tmp:612.2952704009706, loss:1534.5822
tmp:611.6829751305696, loss:1607.4526
tmp:611.0712921554391, loss:1558.8881
tmp:610.4602208632837, loss:1596.5336
tmp:609.8497606424204, loss:1718.066
tmp:609.239910881778, loss:1557.467
tmp:608.6306709708962, loss:1626.6781
tmp:608.0220402999253, loss:1791.0027
tmp:607.4140182596253, loss:1469.3662
tmp:606.8066042413657, loss:1691.0564
tmp:606.1997976371243, loss:1691.5382
tmp:605.5935978394872, loss:1683.2109
tmp:604.9880042416477, loss:1628.7651
tmp:604.383016237406, loss:1647.0945
tmp:603.7786332211685, loss:1738.3322
tmp:603.1748545879474, loss:1675.3557
tmp:602.5716797333595, loss:1527.1309
tmp:601.9691080536261, loss:1619.6522
tmp:601.3671389455725, loss:1593.0686
tmp:600.765771806627, loss:1599.0903
tmp:600.1650060348203, loss:1599.7057
tmp:599.5648410287855, loss:1642.6014
tmp:598.9652761877567, loss:1695.9034
tmp:598.3663109115689, loss:1595.1056
tmp:597.7679446006573, loss:1637.9921
tmp:597.1701766560567, loss:1560.4331
tmp:596.5730064794006, loss:1772.036
tmp:595.9764334729213, loss:1647.0417
tmp:595.3804570394483, loss:1695.0681
tmp:594.7850765824088, loss:1589.9664
tmp:594.1902915058264, loss:1610.3474
tmp:593.5961012143206, loss:1623.4388
tmp:593.0025051131063, loss:1552.7373
tmp:592.4095026079932, loss:1779.6742
tmp:591.8170931053852, loss:1675.8512
tmp:591.2252760122798, loss:1734.9341
tmp:590.6340507362675, loss:1742.3147
tmp:590.0434166855312, loss:1674.5067
tmp:589.4533732688457, loss:1651.0635
tmp:588.8639198955768, loss:1682.9489
tmp:588.2750559756812, loss:1781.024
tmp:587.6867809197055, loss:1622.3224
tmp:587.0990941387857, loss:1586.2744
tmp:586.5119950446469, loss:1631.2739
tmp:585.9254830496022, loss:1669.6515
tmp:585.3395575665527, loss:1577.9811
tmp:584.7542180089862, loss:1721.1786
tmp:584.1694637909771, loss:1632.1399
tmp:583.5852943271861, loss:1662.2635
tmp:583.0017090328589, loss:1608.2261
tmp:582.4187073238261, loss:1842.2333
tmp:581.8362886165022, loss:1686.379
tmp:581.2544523278857, loss:1720.8109
tmp:580.6731978755578, loss:1819.878
tmp:580.0925246776823, loss:1720.5884
tmp:579.5124321530046, loss:1703.1222
tmp:578.9329197208516, loss:1626.7675
tmp:578.3539868011308, loss:1600.9202
tmp:577.7756328143296, loss:1516.2711
tmp:577.1978571815152, loss:1555.8804
tmp:576.6206593243337, loss:1484.0903
tmp:576.0440386650093, loss:1809.9735
tmp:575.4679946263443, loss:1661.4858
tmp:574.8925266317179, loss:1678.0382
tmp:574.3176341050862, loss:1572.917
tmp:573.7433164709811, loss:1706.8911
tmp:573.1695731545101, loss:1539.7001
tmp:572.5964035813556, loss:1648.0498
tmp:572.0238071777743, loss:1531.3153
tmp:571.4517833705966, loss:1491.8622
tmp:570.880331587226, loss:1540.6721
tmp:570.3094512556388, loss:1724.9803
tmp:569.7391418043832, loss:1661.0361
tmp:569.1694026625788, loss:1411.9026
tmp:568.6002332599162, loss:1505.4384
tmp:568.0316330266563, loss:1576.5764
tmp:567.4636013936297, loss:1610.0576
tmp:566.896137792236, loss:1378.0527
tmp:566.3292416544438, loss:1654.2627
tmp:565.7629124127893, loss:1589.8304
tmp:565.1971495003766, loss:1627.3558
tmp:564.6319523508762, loss:1636.0923
tmp:564.0673203985253, loss:1629.7803
tmp:563.5032530781268, loss:1629.6031
tmp:562.9397498250487, loss:1545.7019
tmp:562.3768100752236, loss:1570.8761
tmp:561.8144332651484, loss:1513.3657
tmp:561.2526188318833, loss:1568.6166
tmp:560.6913662130514, loss:1633.189
tmp:560.1306748468384, loss:1679.6638
tmp:559.5705441719915, loss:1714.6735
tmp:559.0109736278196, loss:1606.7941
tmp:558.4519626541918, loss:1638.5883
tmp:557.8935106915376, loss:1789.3196
tmp:557.335617180846, loss:1670.069
tmp:556.7782815636652, loss:1634.2909
tmp:556.2215032821016, loss:1603.8043
tmp:555.6652817788195, loss:1813.8539
tmp:555.1096164970406, loss:1672.3605
tmp:554.5545068805436, loss:1600.5608
tmp:553.9999523736631, loss:1629.5875
tmp:553.4459524212893, loss:1626.546
tmp:552.8925064688681, loss:1798.856
tmp:552.3396139623992, loss:1530.3932
tmp:551.7872743484368, loss:1496.3208
tmp:551.2354870740884, loss:1754.7184
tmp:550.6842515870143, loss:1408.099
tmp:550.1335673354273, loss:1803.317
tmp:549.5834337680918, loss:1375.6075
tmp:549.0338503343237, loss:1657.6128
tmp:548.4848164839893, loss:1648.6587
tmp:547.9363316675053, loss:1462.2885
tmp:547.3883953358378, loss:1812.8531
tmp:546.841006940502, loss:1625.4963
tmp:546.2941659335614, loss:1618.5363
tmp:545.7478717676279, loss:1694.4338
tmp:545.2021238958603, loss:1667.885
tmp:544.6569217719644, loss:1542.6567
tmp:544.1122648501924, loss:1784.4852
tmp:543.5681525853422, loss:1653.3181
tmp:543.0245844327569, loss:1600.9799
tmp:542.4815598483242, loss:1761.806
tmp:541.9390782884759, loss:1631.9294
tmp:541.3971392101874, loss:1818.8444
tmp:540.8557420709773, loss:1534.929
tmp:540.3148863289063, loss:1586.0641
tmp:539.7745714425773, loss:1623.8507
tmp:539.2347968711348, loss:1682.09
tmp:538.6955620742636, loss:1499.9563
tmp:538.1568665121894, loss:1604.5255
tmp:537.6187096456772, loss:1647.3197
tmp:537.0810909360315, loss:1586.0615
tmp:536.5440098450955, loss:1597.236
tmp:536.0074658352504, loss:1781.0536
tmp:535.4714583694151, loss:1576.0479
tmp:534.9359869110457, loss:1760.5846
tmp:534.4010509241347, loss:1740.861
tmp:533.8666498732106, loss:1771.5725
tmp:533.3327832233374, loss:1586.8407
tmp:532.799450440114, loss:1728.144
tmp:532.2666509896738, loss:1726.3812
tmp:531.7343843386842, loss:1726.2173
tmp:531.2026499543455, loss:1732.8032
tmp:530.6714473043911, loss:1565.2495
tmp:530.1407758570867, loss:1486.3073
tmp:529.6106350812297, loss:1637.794
tmp:529.0810244461485, loss:1840.4861
tmp:528.5519434217024, loss:1749.3267
tmp:528.0233914782807, loss:1646.8347
tmp:527.4953680868024, loss:1609.6476
tmp:526.9678727187156, loss:1556.7858
tmp:526.4409048459969, loss:1559.5851
tmp:525.9144639411509, loss:1363.4319
tmp:525.3885494772097, loss:1675.8871
tmp:524.8631609277326, loss:1640.9451
tmp:524.3382977668049, loss:1635.5294
tmp:523.8139594690381, loss:1636.2517
tmp:523.290145509569, loss:1628.6293
tmp:522.7668553640594, loss:1553.6798
